type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
red,10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7
red,5.01,0.1,0.66,2.2,0.074,10,47,1.0008,3.61,0.57,9,3
red,9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,6
red,6.61,0.615,0.22,53.88,0.087,6,19,1.02,3.26,0.61,9.3,5
red,11,0.74,0.68,2.55,0.085,10,25,0.997,3.18,0.61,12.06,5
red,8.1,1.15,0.7,2.2,0.098,25,129,0.9972,3.08,1.41,9,5
red,11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,6
red,10,0.29,0.4,47.62,0.098,10,26,1.0006,3.48,0.91,9.7,5
red,10.3,0.5,0.42,2,0.069,150.36,51,0.9982,3.16,0.72,11.5,6
red,8.8,0.46,0.07,2.6,0.065,7,18,0.9947,3.32,0.79,14,6
red,11.4,0.36,0.1,2.1,0.09,6,21,1,3.17,0.62,9.2,6
red,8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,5
red,13,0.32,1.66,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,5
red,9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,1.5,11.4,6
red,12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,9.69,6
red,9.9,0.35,0.55,2.1,0.11,5,14,0.9971,3.26,0.79,10.6,5
red,10.5,0.28,0.51,1.7,0.08,10,24,0.9982,2.86,0.89,9.4,6
red,9.6,0.68,0.24,64.57,0.087,5,28,0.9988,3.14,0.47,10.2,5
red,9.3,0.27,0.41,2,0.091,6,16,1.01,3.28,0.7,9.7,5
red,10.4,0.24,0.49,1.8,0.075,6,266.84,0.9977,3.03,0.42,13.65,6
red,9.6,0.68,0.26,30.06,0.087,5,28,0.9988,3.14,0.6,10.2,5
red,9.4,0.685,1.03,2.7,0.077,6,31,0.9984,2.8,0.7,10.1,6
red,10.6,0.42,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5
red,9.4,0.3,0.28,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8
red,10.6,0.36,0.59,2.2,0.152,6,346.56,0.9986,3.97,1.05,9.4,5
red,10.6,0.46,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5
red,10.6,0.44,0.68,4.1,0.114,6,24,1.03,3.06,1.16,13.4,6
red,10.2,0.67,0.39,1.9,0.45,6,17,0.9976,3.17,1.21,10,5
red,10.2,0.67,0.49,1.9,0.054,6,17,0.9976,3.17,0.47,10,5
red,10.2,0.645,1.63,1.8,0.41,5,14,0.9982,3.17,0.42,10,6
white,11.6,0.32,0.55,2.8,0.081,9.45,67,1.0002,3.32,0.92,10.8,7
red,6.21,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,12.43,6
red,9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,6
red,9.2,0.41,0.5,2.5,0.055,12,187.39,0.9952,3.34,0.79,13.3,7
red,8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.37,13.4,7
red,8.7,0.69,1.1,3,0.086,23,81,1.0002,3.48,0.74,11.6,6
red,6.04,0.39,0.23,8.3,0.051,28,91,0.99,3.44,0.55,12.1,6
red,10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.31,0.65,11,8
red,7.8,0.52,0.25,1.9,0.081,14,169.64,0.9984,2.91,0.65,9,6
red,7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,5
red,10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8
red,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6
red,11.37,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6
red,10.4,0.44,0.73,6.55,0.03,200.79,76,1,3.17,0.85,12,7
red,10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7
red,10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,7
red,10.5,0.24,0.42,47.5,0.077,6,22,0.9976,3.21,1.05,10.8,7
red,10.2,0.49,0.63,2.9,0.072,10,26,1.03,3.16,0.78,12.5,7
red,10.4,0.24,0.46,1.8,0.03,6,21,0.9976,3.25,1.76,10.8,7
red,9.67,0.67,1.34,62.56,0.084,6,13,1,3.17,0.71,9.5,6
red,10,0.59,0.01,2.2,0.09,26,62,1,3.18,0.63,10.2,6
white,13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,7
red,12.4,0.71,0.49,4.6,0.073,19,43,0.9978,3.02,0.68,9.5,5
red,10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6
red,6.79,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,6
red,10.5,0.81,0.46,2.4,0.107,6,250.69,0.9973,3.09,0.66,11.8,7
red,10.5,0.51,0.25,2.4,0.107,6,15,0.9973,3.8,0.66,11.8,7
red,12.83,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.43,9.3,5
red,12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,6
red,9.77,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,3
red,10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.1,0.68,11.7,6
red,7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5
red,9.8,1.23,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,9.08,6
red,7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,5
red,8.2,1.39,0.49,2.3,0.099,47,166.86,0.9979,3.38,0.99,9.8,5
red,9.3,1.57,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,5
red,9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.79,9.5,5
red,10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.73,0.67,9.9,5
white,14.69,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5
red,7,0.17,0.76,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6
red,8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,6
red,9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5
red,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
red,14.66,0.38,0.49,10.77,0.098,12,42,1.0004,3.16,0.61,10.3,5
red,11.9,0.38,0.46,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5
red,10.3,0.27,0.24,54.86,0.072,15,33,0.9956,3.22,0.66,12.8,6
red,10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,6
red,9.1,0.22,0.24,2.1,0.078,217.89,28,0.999,2.8,0.87,10.3,6
white,9.9,0.69,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5
red,8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,6
red,15.61,0.88,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,7
red,11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,5
red,9.2,0.59,1.4,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,5
red,9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,6
red,9.3,1.4,0.24,19.2,0.07,5,20,0.9966,3.12,0.59,9.9,5
red,11.2,0.66,0.02,2.5,0.51,16,53,0.9993,3.06,0.72,11,6
red,6.31,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.5,8.4,6
red,9.1,0.47,0.49,9.52,0.094,38,106,0.9982,3.08,0.59,9.1,5
red,7.5,0.55,0.72,2,0.078,10,28,0.9983,3.45,0.78,9.5,6
red,10.6,1.06,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,8.49,6
red,12.4,0.5,0.49,2.6,0.25,184.39,233.19,0.9994,3.12,0.75,10.4,6
red,9,0.92,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4,6
red,6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5,6
red,9.4,0.43,0.24,2.8,0.092,14,45,0.998,3.19,0.73,10,6
red,9.5,0.46,0.24,2.7,0.092,14,426.18,0.998,3.12,0.74,10,6
red,5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.41,11.5,5
red,15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5
red,15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5
red,10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.37,0.56,12.02,6
red,15.6,0.645,0.49,4.2,0.095,187.45,41.18,1.00315,2.92,0.74,11.1,5
red,10.9,1.14,0.49,4.6,0.118,27.78,17,1.0002,3.07,0.56,11.7,6
red,13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6
red,12.7,0.6,1.05,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5
red,9,0.44,1.17,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,5
red,9,0.54,0.49,2.9,0.094,41,110,0.99,3.08,0.61,13.18,5
red,7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,1.35,10.1,6
red,13,0.47,0.44,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6
red,15.34,0.6,1.11,2.8,0.36,127.92,19,0.9994,3.14,0.57,11.4,5
red,8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.45,9,6
red,8.7,0.97,1.5,2.5,0.226,5,310.9,0.9991,2.85,0.86,8.43,6
red,9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,6
red,6.2,0.44,1.2,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6
red,11.5,0.35,0.49,3.3,0.15,10,37,1.0003,3.32,0.91,11,6
red,6.2,0.36,0.24,58.15,0.095,19,42,0.9946,3.57,1.24,11.7,6
red,10.2,0.24,0.49,2.4,0.075,10,28,0.9978,3.14,0.61,10.4,5
red,10.5,0.59,0.49,2.1,0.04,14,47,0.9991,3.3,0.56,9.6,4
red,10.6,1.45,0.49,3.2,0.078,20,78,1,3.19,0.7,11.78,6
red,12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2,6
red,9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,1.24,10,4
red,8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,5
red,15.34,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,5
red,10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,6
red,12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5
red,12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5
red,11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,5
red,12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,11.05,7
red,11.8,0.33,1.29,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,7
red,7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,12.75,6
red,11.1,0.31,0.49,2.7,0.26,16,47,0.9986,3.12,1.02,10.6,7
red,7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,5
red,5,0.42,0.24,2,0.06,19,50,0.9917,3.72,1.52,14,8
red,10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,7
red,9,0.45,0.49,2.6,0.26,21,237.69,0.9987,3.35,0.57,9.7,5
red,6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,6
red,9,1.18,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5
red,9.9,0.49,0.58,3.5,0.094,9,43,0.99,3.29,0.58,9,5
white,7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,5
red,8.9,0.595,0.41,30.2,0.086,30,109,0.9998,3.27,0.57,9.3,5
white,12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,6
red,11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,6
red,8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,6
red,12.7,1.58,1.14,2.3,0.082,11,22,1.01,3,0.7,9.3,6
red,8.2,0.5,0.8,2.1,0.088,7,23,0.9962,3.26,0.47,10,4
red,13.2,0.46,0.64,2.2,0.071,12,35,1.0006,3.1,0.56,12.41,6
red,14.24,0.835,0,2.6,0.081,6,134.02,0.9975,3.3,0.52,9.3,5
red,13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6
red,7.27,0.86,0.13,2.9,0.6,14,63,0.9984,3.17,0.62,9.1,6
red,6.04,0.6,0.13,2.6,0.085,6,24,0.99,3.31,0.59,11.12,6
red,7.77,0.41,0.48,4.6,0.072,10,95.63,0.9973,3.34,0.26,12.2,7
red,8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,6
red,10.1,0.65,0.37,5.1,0.47,269.62,65,1.0026,3.32,0.64,10.4,6
red,6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,6
red,8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.92,0.54,9.2,5
red,13.2,0.38,0.55,25.83,0.081,5,16,1.0006,2.98,0.54,9.4,5
red,7.5,0.64,0,2.4,0.077,266.44,362.26,1.01,3.32,0.6,10,6
red,8.2,0.39,0.38,1.5,0.58,10,29,0.9962,3.26,0.74,9.8,5
red,9.2,0.755,0.18,2.2,0.148,98.75,103,0.9969,2.87,1.36,10.87,6
red,9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5
red,9.6,1.47,0.73,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5
red,11.5,0.31,0.51,2.2,0.079,14,28,1,3.03,0.93,9.8,6
white,11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,5
red,11.3,0.37,0.23,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,5
white,8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.67,9.4,5
red,12.55,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,5
red,10,0.58,0.22,1.9,0.36,9,32,0.9974,3.13,0.55,9.5,5
red,7.9,0.51,1.6,2.9,0.077,21,45,0.9974,3.49,0.96,12.1,6
red,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
red,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
red,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.75,9.1,5
red,8.8,0.6,0.29,2.2,0.6,18.55,15,0.9988,3.36,0.49,9.1,5
red,8.7,0.54,0.26,2.5,0.097,148.29,31,0.9976,3.27,0.6,8.96,6
red,7.6,0.685,0.23,2.3,0.111,20,273.78,0.9964,3.21,0.61,9.3,5
red,8.7,0.54,0.26,2.5,0.16,7,120.3,1.03,3.27,0.6,8.6,6
red,10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,1.67,9.5,5
red,7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,6
red,10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,4
red,7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5,5
red,8.7,0.84,0,1.4,0.065,24,33,0.9954,3.27,0.55,9.7,5
red,9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,5
red,9.5,0.885,1.53,2.3,0.084,31,197.56,1.03,3.24,0.53,9.4,5
red,7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.17,1.86,10.2,7
red,13.66,0.29,0.35,1.9,0.42,25,57,0.997,3.18,1.36,10.3,6
red,10.28,0.54,0.45,2.3,0.071,16,40,1,3.39,0.62,9.4,5
red,9.5,0.59,0.44,2.3,0.071,21,86.65,0.9992,3.46,0.63,9.5,5
red,9.9,0.33,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5
red,9.5,1.06,0.44,2.3,0.18,21,68,0.9992,3.46,0.63,9.5,5
red,9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5
red,7.8,1.48,0.1,6,0.115,5,11,1,3.37,0.69,10.1,7
white,7.3,0.67,0.05,3.6,0.46,6,20,0.9972,3.4,0.63,10.1,5
red,8.3,0.845,0.01,24.04,0.07,210.68,14,1.02,3.32,0.58,11,4
red,8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,7
red,7.47,0.42,0.27,8.6,0.068,24,148,1.02,3.16,0.57,11.3,6
red,4.28,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5
red,9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,5
red,15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,5
red,9.4,0.33,0.59,2.8,0.079,9,30,0.9976,3.12,0.54,12,6
red,8.6,1.04,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,5
red,9.7,0.55,0.17,15.64,0.087,20,53,1.0004,3.14,0.61,9.4,5
red,10.17,0.43,0.39,63.44,0.106,8,32,0.9986,2.89,0.5,9.6,5
red,12,0.5,0.59,22.4,0.073,23,42,0.99,2.92,0.68,14.89,7
red,7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,6
red,7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,4
red,7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,1.42,9.6,6
red,7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,5
red,7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,6
red,10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.62,0.79,10.2,6
red,12.1,0.4,0.53,54.25,0.092,15,54,1,3.03,0.45,10.2,5
red,10.18,0.59,0.14,31.37,0.084,25,48,0.9981,3.14,0.56,9.7,5
red,8.3,0.32,0.36,1.8,0.12,6,303.53,0.998,3.18,0.6,9.5,6
red,11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6
red,10,0.73,0.43,17.34,0.059,166.59,31,0.9966,3.15,0.57,11,5
red,11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,11.18,6
red,6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5
red,8.2,0.73,0.21,23.92,0.074,5,13,0.9968,3.2,0.52,9.5,5
red,8.66,1.24,0.34,2,0.079,32,151,1.04,3.15,0.53,9.5,5
red,8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5
red,10.8,1.21,0.41,60.32,0.084,7,17,0.9984,3.08,0.67,9.3,6
red,9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.3,0.65,10.2,5
red,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,13.43,6
red,10.56,0.8,0.11,2.3,0.34,12,31,0.9979,3.4,0.48,9.9,5
red,10.64,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,5
red,13.5,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,5
red,13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,1.67,9,5
red,8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2,6
red,8.5,0.46,0.31,2.25,0.078,32,34.07,0.998,3.33,0.54,10.53,5
red,8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5
red,9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,5
red,8.1,0.78,0.23,24.09,0.059,5,15,0.997,2.72,0.56,11.3,5
red,7.1,0.65,1.61,1.8,0.07,13,303.16,0.997,3.44,0.6,9.1,5
red,9.1,0.64,0.23,44.42,0.095,13,38,0.9998,3.28,0.59,9.7,5
red,7.7,0.66,0.04,1.6,0.54,4,9,0.9962,3.4,0.47,9.4,5
red,8.1,0.38,0.48,1.8,0.157,5,17,1.02,3.3,1.05,9.4,5
red,7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,3
red,9.2,0.92,0.24,2.6,0.087,12,158.72,0.9998,3.48,0.54,9.8,5
red,8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,12.69,5
red,9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4,5
red,9,0.47,0.31,12.81,0.084,24,125,0.9984,3.31,0.61,9.4,5
red,15.41,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6
red,7,0.65,0.76,2.1,0.066,8,42.64,0.9972,3.47,0.67,9.5,6
red,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6
white,9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,5
red,11.8,0.38,0.55,2.1,0.071,5,19,0.9986,3.11,0.62,10.8,6
red,10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,6
red,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6
red,7,0.64,0.02,2.1,0.067,210.99,23,0.997,3.47,0.67,9.4,6
red,7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,4
red,9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,4
red,8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,1.38,11.54,5
red,7,0.78,0.08,2,0.093,10,154.82,0.9956,2.91,0.47,10,5
red,7.4,0.49,0.19,42.5,0.077,16,37,0.9966,3.37,0.51,10.5,5
red,7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,6
red,9.7,0.31,0.47,1.6,0.062,13,33,0.9983,3.27,0.66,10,6
white,10.6,1.025,0.43,2.8,0.08,21,429.17,1,3.06,0.57,10.1,5
red,8.9,0.565,0.34,52.21,0.093,16,112,0.9998,3.38,0.61,9.5,5
red,8.7,0.69,0,3.2,0.084,13,33,0.9992,3.3,0.45,9.4,5
red,8,0.43,0.36,2.3,0.075,68.17,48,0.9976,3.34,0.46,9.4,5
red,9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,5
red,14.18,0.49,0.18,2.7,0.2,13,34,0.9967,3.29,0.48,9.2,6
white,8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5
red,7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,5
red,8.4,0.56,0.04,2,0.082,111.05,22,0.9976,3.22,0.44,12.84,5
red,7.1,0.66,0,3.9,0.086,17,45,1.02,3.46,0.54,9.5,5
red,8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5
white,8.9,0.48,0.49,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,5
red,7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.82,10,5
red,7.1,0.31,0.3,2.2,0.053,252.45,127,0.9965,2.94,1.62,14.6,5
red,7.5,1.115,0.1,3.1,0.37,5,261.72,0.9958,3.54,0.6,11.2,4
red,9,0.66,0.17,3,0.1,5,13,0.9976,3.29,0.55,10.4,5
red,8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,1.57,11.1,6
red,6.4,0.57,0.02,1.8,0.067,4,11,1.04,3.46,0.68,9.5,5
red,6.4,0.57,0.02,39.86,0.067,4,11,1,3.46,0.68,12.54,5
red,6.4,0.865,0.03,3.2,0.071,27,58,1.03,3.61,0.49,9.98,6
red,9.5,0.55,0.9,2.3,0.387,12,37,0.9982,3.17,0.67,9.6,5
red,8.9,1.47,0.13,3.45,0.51,4,14,0.9994,3.44,0.52,11.5,5
red,7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,8.53,5
red,10.33,0.45,0.34,2.7,0.082,16,72,0.998,3.89,0.6,9.5,5
red,4.24,0.56,0.2,2,0.075,30.08,39,0.9987,3.48,1.91,9.3,5
red,7.7,0.965,0.1,2.1,0.112,11,135.92,0.9963,3.26,0.5,9.5,5
red,7.7,0.965,0.1,2.1,0.58,11,22,0.9963,3.26,0.5,9.5,5
red,8.2,0.59,0,2.5,0.093,19,58,0.99,3.84,0.65,9.3,6
red,9,1.47,0.23,61.1,0.092,28,104,0.9983,3.1,0.56,9.2,5
red,9,0.69,0.75,2.4,0.088,94.56,38,1.02,3.39,0.25,9.3,5
red,9.09,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5,6
red,9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,5
red,6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,1.46,9.2,5
red,11.6,0.85,0.49,2.8,0.096,25,101,1.00024,3.96,0.53,10,5
red,11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5,5
red,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
red,8.2,0.34,0.38,2.5,0.08,12,70.67,0.9978,3.3,0.47,9,6
red,8.6,0.33,0.4,27.04,0.083,16,170.31,0.99782,3.3,0.48,9.4,5
red,7.2,0.5,0.18,2.1,0.071,12,31,1.02,3.52,0.72,9.6,6
red,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
red,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
red,8.3,0.65,0.1,3.96,0.089,83.55,40,0.99803,3.29,0.55,9.5,5
red,7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,11.94,5
red,8.3,0.32,0.1,2.9,0.089,17,40,0.99803,3.29,0.75,9.5,5
red,7.8,0.48,0.68,1.7,0.415,14,38.36,0.99656,3.63,1.06,9.1,6
red,11.86,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,6
red,6.3,1.19,0.01,2,0.057,15,33,1.01,3.6,0.46,11.2,6
red,8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,11.8,5
red,8.1,0.87,1.16,2.2,0.084,10,31,0.99656,3.25,0.5,13.24,5
red,8.8,0.42,0.21,2.5,0.092,33,88,1,3.19,0.52,9.2,5
white,9,0.58,0.25,2.8,0.075,30.9,104,0.99779,3.23,0.33,9.7,5
red,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5
red,8.8,0.7,0,1.7,0.27,8,19,0.99701,3.31,0.53,10,6
red,9.3,0.655,0.26,2,0.096,5,314.35,0.99738,3.25,0.42,9.6,5
red,9.1,0.68,0.11,2.8,0.093,11,44,0.99888,2.73,0.55,9.5,6
red,9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5,6
red,8.8,0.59,1.12,2.9,0.089,12,74,0.99738,3.14,0.54,10.9,5
red,7.5,0.6,0.32,2.7,0.103,171.84,98,0.99938,3.45,0.62,14.48,5
red,7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.25,0.53,9.7,6
red,7.9,0.72,0.01,1.9,0.076,280.87,32,0.99,3.39,0.54,9.6,5
red,7.1,0.59,0.02,23.46,0.082,24,94,0.99744,3.55,0.53,9.7,6
red,9.4,0.685,0.28,2.4,0.082,23,143,0.9978,3.28,0.55,9.2,5
